Date,Dividends
2008-12-17 00:00:00-05:00,0.0055
2009-03-24 00:00:00-04:00,0.006917
2009-06-23 00:00:00-04:00,0.009333
2009-09-22 00:00:00-04:00,0.009583
2009-11-20 00:00:00-05:00,0.543
2009-12-22 00:00:00-05:00,0.006667
2010-03-23 00:00:00-04:00,0.115917
2010-06-22 00:00:00-04:00,0.00475
2010-09-22 00:00:00-04:00,0.0085
2017-12-13 00:00:00-05:00,1.604
2017-12-19 00:00:00-05:00,0.115
2018-06-19 00:00:00-04:00,0.014
2018-09-25 00:00:00-04:00,0.114
2018-12-27 00:00:00-05:00,0.208
2019-06-25 00:00:00-04:00,0.293
2019-12-23 00:00:00-05:00,0.262
2020-06-23 00:00:00-04:00,0.046
2020-12-22 00:00:00-05:00,0.115
2021-06-22 00:00:00-04:00,0.041
2021-12-21 00:00:00-05:00,0.115
2022-06-22 00:00:00-04:00,0.078
2022-12-20 00:00:00-05:00,0.124
2023-03-21 00:00:00-04:00,0.262
2023-06-21 00:00:00-04:00,0.258
2023-09-19 00:00:00-04:00,0.194
